district,month,no2_mean,ndvi,ndbi,pressure,precip,wind_speed,temp_c
Central Delhi,1,0.00024146655774021875,0.25655618561807086,-0.03330119694886941,99265.96041667071,0.02727428619252173,1.2047599179717579,12.58282840286995
East Delhi,1,0.0003325877219217814,0.2333119068136334,-0.002608847310900226,99253.0851499134,0.026254415003301987,1.1945843920313524,12.636325337880635
New Delhi,1,0.00025365446817797476,0.3123719351686906,-0.009307819265724396,99177.36564794509,0.0262335862214079,1.1893757052756646,12.598506030586918
North Delhi,1,0.00017214191596633078,0.38641054613714115,-0.10686953157144234,99284.67631325292,0.028089842008085744,1.2041853089126808,12.473138962893643
North East Delhi,1,0.0002227105621345014,0.20720599183483274,0.008009900697003323,99266.95495023088,0.026850128602915357,1.2009956911407387,12.607672920270886
North West Delhi,1,0.00017181754299495423,0.33413942535088287,-0.10727124622821899,99308.24597733736,0.02675725120014591,1.175069828423208,12.498135709638802
Shahdara,1,0.00028886064728821266,0.14014795392928328,0.026369775460588225,99269.4514167762,0.02663117405550176,1.1990480789765319,12.61697858634659
South Delhi,1,0.000235821028566405,0.3735712229066319,-0.012538402039810418,98965.54542367435,0.02518673358112321,1.195696533494487,12.63561115337967
South East Delhi,1,0.0003148435721470723,0.2513029928789931,0.006958518736777667,99190.81692993351,0.025176777791125354,1.1911507030497943,12.685204724782068
South West Delhi,1,0.00015403241684606913,0.4154607940407631,-0.19064439892117918,99308.72677673683,0.02332836030313189,1.1000430331406612,12.548413940190244
West Delhi,1,0.00020228776453913756,0.212287246286836,-0.0260086244099677,99316.00947261095,0.026876433760072264,1.180822525547849,12.511496123469328
Central Delhi,2,0.00018438594071796676,0.3251928004127535,-0.07441959431612533,98922.14157568298,0.0006200091600900475,1.6337871525157037,18.634816611707095
East Delhi,2,0.00024362356109925841,0.28392013517685644,-0.06308032090732368,98909.69586436205,0.000832242196960748,1.6535700463501957,18.680284201805307
New Delhi,2,0.00015259883891843094,0.3587778262360215,-0.03284012295252354,98837.24944517993,0.001042370608862856,1.5817344277748675,18.75527475940669
North Delhi,2,0.0001300350724312935,0.45168876448650225,-0.14903886386086007,98940.03608963315,0.00030601895240311744,1.5783939628781014,18.488697893748963
North East Delhi,2,0.00017160075253868067,0.24301660088024063,-0.03774045834903067,98922.7575530089,0.0006201510523137341,1.6550884245593411,18.637917922615657
North West Delhi,2,0.00011557601459200201,0.41325136249296474,-0.13262826993579738,98963.95841631708,0.0005817560023871482,1.5223861304244033,18.606534061995717
Shahdara,2,0.00020877708680604873,0.1873688844843739,-0.00654588805601463,98925.07605116285,0.0006316128224231587,1.6626616393885714,18.63922643882205
South Delhi,2,0.00013246263345754702,0.40045159041214096,-0.0307969021325857,98632.07293401171,0.0014421890987315917,1.5887988828903634,18.841751809007917
South East Delhi,2,0.00021334377191053333,0.28758662649002875,-0.03400537560077691,98850.80671536192,0.0013724583631381545,1.6212887906678133,18.792104931915674
South West Delhi,2,8.207415768333141e-05,0.52273834080526,-0.2088787178322924,98964.9974375325,0.0009914608845873842,1.4356793637343352,18.827487799868436
West Delhi,2,0.0001237453076128076,0.2651946730815675,-0.029927243886727104,98971.59130154309,0.0006122471750631198,1.5344491077219455,18.619767976238677
Central Delhi,3,0.00013040547113896524,0.3202999266862202,-0.044626455628304154,98783.85983586282,0.06752745532575102,0.8669576291038168,22.08206280579566
East Delhi,3,0.00017019509064738388,0.29717217401638035,-0.03296036434564476,98772.42843574748,0.06922218035141035,0.9039926131901851,22.112481675591823
New Delhi,3,0.00013059282787168165,0.3818442051280976,-0.019891786737463456,98697.37862478732,0.06896436624379045,0.8370355336890188,22.217393036168005
North Delhi,3,7.97638188514879e-05,0.4201480793430622,-0.10506528352923733,98800.72802667733,0.06583129707511484,0.8097927780224771,21.97568146373021
North East Delhi,3,0.00011761080643223985,0.2332188362760906,-0.003956629112877601,98785.47548235807,0.06887394575572621,0.8903769838512284,22.06999492260968
North West Delhi,3,8.915948258971678e-05,0.3942345693421893,-0.09017425467675011,98822.26483093195,0.06793886661277856,0.7755634132119593,22.105841382132382
Shahdara,3,0.000142528498062812,0.18753859802875505,0.019378130588263466,98788.19590063578,0.0692358958507867,0.9015426819142248,22.06517152070353
South Delhi,3,0.00011628984613713842,0.42715014181496874,-0.021776455861363533,98493.9187799571,0.06965041670439664,0.8660476409793899,22.28287077618387
South East Delhi,3,0.00016787526918940335,0.3096224912434374,-0.01773143871177383,98712.21574770786,0.06834293900145484,0.9100410268631806,22.248290749592343
South West Delhi,3,6.965362877309302e-05,0.4679421915549307,-0.1225911591278464,98820.07796795203,0.07254708775405344,0.7052344146898931,22.34948509630101
West Delhi,3,0.000105893009663729,0.27651701555148395,-0.006796776800405513,98829.93374650506,0.06772795757587517,0.786412255346962,22.11884752165264
Central Delhi,4,0.0001219473883737323,0.3112723915408935,-0.05633925628864717,98411.72030867524,0.018587781424109974,1.1647577991156992,26.61022042525792
East Delhi,4,0.00014949844807807112,0.30434453114880666,-0.07197679797945052,98400.43566840277,0.020102678905345023,1.1752767030671425,26.653550461809346
New Delhi,4,0.00012066586648046784,0.40279046063659485,-0.0710009248799248,98326.85766012855,0.018752462366253508,1.1325011225973092,26.764163675511213
North Delhi,4,7.524441325770247e-05,0.29946280223375815,0.001697953467553428,98428.22747313457,0.016672179614503364,1.135137683455126,26.53246488962094
North East Delhi,4,0.00011141343489545774,0.2388041816905213,-0.02168098111267556,98413.26378059264,0.01946509269656315,1.1742173469362547,26.60664059537129
North West Delhi,4,8.389983135371539e-05,0.25646535570797474,0.015278820210824367,98449.44781938457,0.017169069984935264,1.1026265405669968,26.68967484514377
Shahdara,4,0.00013737709698616814,0.20150855301918522,-0.012406097888511193,98415.9150972709,0.019812317114216216,1.1784124241999405,26.60296268007596
South Delhi,4,9.739905578148756e-05,0.4309708223865614,-0.06044823673143517,98127.08568436702,0.019864910907515628,1.1294406101448757,26.81563018448054
South East Delhi,4,0.00013105421562545312,0.31064588887743905,-0.05109147514918662,98341.34700272817,0.020439208282257024,1.162285230920376,26.79820122612847
South West Delhi,4,8.542814182149709e-05,0.2866288285562132,0.023402318563946582,98447.67037330632,0.016914111664662196,1.030500350651073,26.925893714032213
West Delhi,4,0.00010560952830958854,0.2680097109100223,-0.019498188461577193,98456.98924956478,0.01732085937539104,1.1103717887898705,26.697126455155626
Central Delhi,5,9.994160947878826e-05,0.3088230411429302,-0.0460916754576333,98127.93890871949,0.07085950743070947,0.7592237483796732,29.177743806950218
East Delhi,5,0.00012246844025784226,0.30797575564679047,-0.053085501742890104,98117.9795001173,0.07327049618586254,0.7754826977224295,29.17977940648143
New Delhi,5,0.0001043059673392157,0.37516734947164093,-0.04464866772825306,98043.75338244521,0.0722352988202462,0.8029962571943804,29.36362476082701
North Delhi,5,7.3346170476696e-05,0.29326866267904195,8.93331595917804e-05,98142.62769416976,0.06718654162547302,0.7241140659455739,29.22514824002917
North East Delhi,5,9.381907302477975e-05,0.22740187457657737,-0.0018854511064558236,98130.2630003927,0.07241846894575332,0.757586001673732,29.152977222753634
North West Delhi,5,7.655795177499444e-05,0.24333280572563243,0.02475882970652071,98163.29849807802,0.06847065389733759,0.7510503571438079,29.37817375075616
Shahdara,5,0.00011206735494865397,0.19142370958467186,0.014824287402992022,98133.18853490501,0.07289946291949813,0.7568259638951327,29.13063069170005
