district,year,month,no2_mean,ndvi,ndbi,pressure,precip,wind_speed,temp_c
Central Delhi,2021,1,0.00028785147230182703,0.14090369905090522,-0.10021966391889262,99060.03235468279,0.03786898308620756,1.0796573729206163,13.576796641915848
East Delhi,2021,1,0.0003541250040750945,0.08886183922428961,-0.10615609520291935,99049.91382174494,0.035250675605797414,1.0946938363011842,13.668392058907614
New Delhi,2021,1,0.0002524057632479782,0.2066802782238172,-0.0679929443063981,98971.66032830464,0.036888285523208254,1.0356335387358269,13.680165644680415
North Delhi,2021,1,0.00018371265697287705,0.2096886878815934,-0.14155682700070799,99081.65384352126,0.0394890224540163,1.0430675535264742,13.47800521509015
North East Delhi,2021,1,0.0002533899535879831,0.09631278676363124,-0.07805911320441268,99059.28250197577,0.036728286460186374,1.0973226373114409,13.617099872114807
North West Delhi,2021,1,0.00021876124021466377,0.0699215943999144,-0.10440047160405813,99102.53313487062,0.03801893291108038,0.9991509514278695,13.550415874703333
Shahdara,2021,1,0.0002940293960956668,0.03849017146754046,-0.05444138836480738,99063.45567406267,0.03611567552551421,1.103405989211266,13.625284774147019
South Delhi,2021,1,0.00021537140603855655,0.2060581078637628,-0.04537970870539775,98768.2454525693,0.03331983332266909,1.0458013237364476,13.800585043396438
South East Delhi,2021,1,0.00031001466969632363,0.0998111750286351,-0.07756504351496894,98994.28902964789,0.032788538170340026,1.0676667589044238,13.788661718881258
South West Delhi,2021,1,0.00014191982788158477,0.4033337376413372,-0.21628963911642848,99110.43930846477,0.03809943925273899,0.9202117065405323,13.657210434284536
West Delhi,2021,1,0.00023485936893770056,0.11691278950321068,-0.08081338365542402,99111.13796814598,0.03803179968627358,1.0073199485135635,13.55939165703603
Central Delhi,2021,2,0.00028430478884380883,0.28237137459145956,-0.04760599828537859,98964.68743020101,0.007644623947400517,1.4236732516813824,18.28650438689425
East Delhi,2021,2,0.00036981053018210637,0.2369979466263475,-0.04138793722973357,98954.6760465575,0.00882312529395942,1.4323642212274956,18.29978857228332
New Delhi,2021,2,0.0002320094352135008,0.30212664763511754,0.0013124919485124264,98877.39426999232,0.005210189028252929,1.3493871430134337,18.463727114386643
North Delhi,2021,2,0.00015705622920691713,0.3801143500700325,-0.11152138876709082,98986.23072778482,0.006555683222482087,1.3763889767936006,18.14028612553375
North East Delhi,2021,2,0.00027325582080011974,0.21262367463981863,-0.023133808297225618,98963.90141312612,0.00874786102636842,1.4424250605222875,18.256007348967557
North West Delhi,2021,2,0.00016954911209068492,0.33757960861757264,-0.09980645233262891,99006.31811603614,0.004862994153084015,1.3005980986039691,18.298243264102837
Shahdara,2021,2,0.0003593328036598908,0.14878566208837396,-0.003741662508506589,98968.02714198358,0.00925445345493043,1.4484833625150837,18.242569551905092
South Delhi,2021,2,0.00019731838987754554,0.32029142768218005,0.028306530219290013,98677.29369502493,0.004617416660065212,1.3345803932713183,18.568419301503297
South East Delhi,2021,2,0.00031814039457190056,0.2453889115901242,-0.0014477148355452843,98899.95142133025,0.0071533937522988,1.379285871545836,18.464081563754917
South West Delhi,2021,2,0.00010531954318624993,0.45975349245888947,-0.1638572309419421,99012.84203373888,0.0031035579433150756,1.1656461767258852,18.542077957996696
West Delhi,2021,2,0.00019008342764078513,0.21357947996754614,-0.005482789737708965,99014.77927428157,0.004973864619992386,1.3142830296444892,18.31641145158278
Central Delhi,2021,3,0.00014127350259000052,0.26453078697518145,-0.0569633404642291,98590.48561126304,0.0065202277361763455,1.3974295096592955,24.030527813310016
East Delhi,2021,3,0.00016749297106785876,0.24680965329793167,-0.04850195854612136,98580.64248412588,0.006887532236211745,1.4158638221370528,24.08813973236937
New Delhi,2021,3,0.00011662272400982994,0.3010502156136644,-0.019305999521677733,98504.8540011582,0.007590234108173602,1.3263450126356622,24.34314366796417
North Delhi,2021,3,8.810001634154587e-05,0.3463973127302619,-0.09741759488659654,98611.65648806507,0.005874820542311242,1.3468818109637049,23.879731096069634
North East Delhi,2021,3,0.00013697492106319993,0.19945548659147672,-0.029627594289249225,98589.71693695193,0.006547779867375736,1.4202469062145346,24.011656214332447
North West Delhi,2021,3,9.415155415218287e-05,0.3455935276928156,-0.08338665102835018,98631.03498099743,0.006573501703261786,1.2782155801228459,24.123541153825386
Shahdara,2021,3,0.00016612759375318157,0.15003734054323686,-0.0032499605171630902,98593.76587858633,0.006544636940578719,1.4289408719776489,23.99400221290165
South Delhi,2021,3,9.696162891695735e-05,0.312674642801236,-0.0006196995980569634,98309.19663379833,0.008866655240763336,1.3157560401194635,24.524616212553724
South East Delhi,2021,3,0.0001462232750162683,0.23913164820432903,-0.017698160960701082,98527.00967021889,0.007933996646753424,1.3698859169857929,24.355208887079698
South West Delhi,2021,3,7.117873778873846e-05,0.41266342165326925,-0.11498842465499474,98637.08839316816,0.008086567084464941,1.1568562282438175,24.509459659572315
West Delhi,2021,3,0.00010522408670256022,0.2326822154289976,-0.014808736968226112,98639.29799786431,0.006605565690368217,1.2908588632964673,24.13955661540507
Central Delhi,2021,4,0.00010254382539757208,0.2650906058558112,-0.01971235554686044,98364.92060796315,0.005378347240335544,1.894603254931592,28.345981333843497
East Delhi,2021,4,0.0001265038030844302,0.26362652248611673,-0.03701304416381668,98354.12705751616,0.0046613458519793975,1.88554769374183,28.476798846365398
New Delhi,2021,4,9.995600092151853e-05,0.31012084685327873,-0.017812060681307276,98280.49637988512,0.004710154894091016,1.8907860867112691,28.6047041353267
North Delhi,2021,4,7.2567754066819e-05,0.21818506234336904,0.033235323687168916,98387.83631001477,0.005537676662250005,1.8656661460297583,28.153648440219115
North East Delhi,2021,4,9.480581257616899e-05,0.19099424764057057,0.01209442867344822,98363.65797947427,0.005032914795071085,1.8881523351946057,28.38343279693504
North West Delhi,2021,4,7.429051484668572e-05,0.20593823937279476,0.02930161416789301,98407.11837995391,0.004565995126338886,1.8449759194138122,28.341730636655143
Shahdara,2021,4,0.00011412385629058699,0.16844912037340237,0.01025139933509846,98367.43385873002,0.004869248655693927,1.8837755622169052,28.382445709133492
South Delhi,2021,4,9.397545855046185e-05,0.31141310580134357,0.011462090811374738,98086.04234167963,0.004505648756996329,1.899690820460126,28.800186844748964
South East Delhi,2021,4,0.00012010862522725031,0.26193869068229775,-0.01676397833748448,98300.26370690722,0.0043532792362821985,1.8904390151278319,28.735385102771545
South West Delhi,2021,4,7.033164318923976e-05,0.21829863943119596,0.04236513260622227,98413.94974443827,0.0030271461515030606,1.7861761672646566,28.58223593001196
West Delhi,2021,4,8.653527642315544e-05,0.21634755742449213,0.005481681670261335,98414.94754385318,0.0047070850143232385,1.854945726234207,28.368094908516355
Central Delhi,2021,5,8.025303911184463e-05,0.2416264366960043,-0.0163591508554633,97971.93424970005,0.08601666029219278,0.7708179322313471,29.589738728459622
East Delhi,2021,5,8.573042018764207e-05,0.24348674091649844,-0.03739074996507406,97966.02241350342,0.09041327435913522,0.7600245759801815,29.53086158503504
New Delhi,2021,5,7.481908919104819e-05,0.2929448186708705,-0.006894436077845156,97884.788287327,0.09201157934591404,0.7993525178797495,29.8067524476445
North Delhi,2021,5,7.067306108362219e-05,0.19377402285794584,0.04606549995093615,97987.62253210541,0.07475277295498492,0.7539697012471268,29.730982461742883
North East Delhi,2021,5,7.533311937257818e-05,0.1726179561467198,0.018711969979882392,97973.8578176382,0.08693195694758701,0.7530493644535327,29.538074895665886
North West Delhi,2021,5,7.022507764277344e-05,0.17972041599126692,0.06065893966652218,98003.44480701938,0.0771514163192464,0.7551281808032007,29.910138410314346
Shahdara,2021,5,8.397547240784484e-05,0.15559874632965462,0.018867052899467798,97978.94388951172,0.08716378574808602,0.7458208721878753,29.500884356502127
South Delhi,2021,5,6.377270876611283e-05,0.2891732859307081,0.021116444913073705,97695.39125542654,0.1017236995543359,0.8310160128659034,29.751072560433954
South East Delhi,2021,5,7.71975299216657e-05,0.2402117505480771,-0.006367665328021692,97912.3574704781,0.09923500910663134,0.8099253081697685,29.634630135273937
South West Delhi,2021,5,5.8227635303245974e-05,0.1927189870141642,0.08384606149518252,98004.84302527393,0.08070568990725088,0.7255379134462653,30.219056058857063
West Delhi,2021,5,7.364416287976235e-05,0.21018473716350788,0.021475730088974444,98012.15428334582,0.07882629687655081,0.7630955381006891,29.890931306237576
Central Delhi,2021,6,0.00010345173133154176,0.26869890750357206,-0.046830895870767025,97584.70280710793,0.03148518250491912,0.3132609702728092,32.05770728248086
East Delhi,2021,6,0.00012083046233879029,0.25994677258252985,-0.05527153694830271,97579.03792950042,0.03397290978523991,0.33445345543500576,31.97879181770537
New Delhi,2021,6,9.663320628387482e-05,0.34707839111956607,-0.0646397499153293,97499.37459249872,0.0266638627525429,0.25121168037903613,32.32982901074928
North Delhi,2021,6,7.550955017359643e-05,0.24540111229767514,0.003330720687852069,97599.80822570808,0.02714310330087347,0.277699646714338,32.199156137705074
North East Delhi,2021,6,9.633561219909286e-05,0.19637854939684068,-0.0038580704153743143,97586.62981312576,0.033818391458411284,0.3325037034837717,31.97852253939601
North West Delhi,2021,6,7.889398556593498e-05,0.22071435737654246,0.016474871537375868,97615.89636819775,0.02318841156203998,0.22244344787356937,32.44400406103023
Shahdara,2021,6,0.00011322928521526742,0.1532483770735544,0.01089745904095711,97591.6354303061,0.034750371397191726,0.34278274851423907,31.93521185050008
South Delhi,2021,6,9.144888041020264e-05,0.3798566545172112,-0.057694605000520004,97313.10241864472,0.02659602491920506,0.25276764638955385,32.3217011009109
South East Delhi,2021,6,0.00011170646180175552,0.2760276465367468,-0.04160738955023864,97526.54878797743,0.030870168993021807,0.31052045435069753,32.132626038203114
South West Delhi,2021,6,6.572234118455751e-05,0.2619353164863512,0.014616440431970804,97618.58406533072,0.01867759438170625,0.1694964984262066,32.79517584134629
West Delhi,2021,6,8.826065776247963e-05,0.22976999958920796,-0.005280483503215316,97624.47081749598,0.023849625642015492,0.23107183035755582,32.4233263777773
New Delhi,2021,7,9.322727309753854e-05,0.26031194627027787,-0.015989097159152827,97390.8983334093,0.26191079086321306,0.5497801182311194,31.130779356248524
North Delhi,2021,7,7.094337940043266e-05,0.25722332030972533,-0.0283397773885349,97489.96513306655,0.29043307375062566,0.6343729295684771,31.138027367526036
North West Delhi,2021,7,8.0670725802857e-05,0.22069669831491387,0.005233436640432181,97506.78813174216,0.26626117492138285,0.5631460067839736,31.265402823657894
South Delhi,2021,7,8.210910243412989e-05,0.27651040879622374,0.0038599273709308494,97205.3585560562,0.25741981314581674,0.5005176748762857,31.050843667895606
South West Delhi,2021,7,6.52100540996666e-05,0.2581826814832589,-0.016509154079048644,97510.35075796623,0.23314969865092336,0.4816718399263049,31.480642507399523
West Delhi,2021,7,9.124603487588228e-05,0.20947461548323879,-0.011667195455690796,97515.40256040066,0.267083892366902,0.5669512231715604,31.249891912952762
Central Delhi,2021,8,7.526558231176411e-05,0.29276865742224534,-0.07865919018212869,97724.61320295765,0.1068738204712287,0.32959151051113883,29.203006926248065
East Delhi,2021,8,0.00010329656914155101,0.28357259821474234,-0.07971952553196865,97718.50258519304,0.11546646053454376,0.305709135383589,29.133888879704557
New Delhi,2021,8,6.487764925878685e-05,0.41914527708761645,-0.1222463523228568,97641.56239445708,0.1096225288870055,0.3411974106903207,29.25858350294294
North Delhi,2021,8,4.5168867599900775e-05,0.3767010066382069,-0.09915665709359131,97739.96784405234,0.09439945511122565,0.3589558277870509,29.328941141077337
North East Delhi,2021,8,7.487404359872369e-05,0.2372606384542436,-0.02570769147311177,97725.80197547206,0.11089530483515161,0.31756057266655224,29.15802329246901
North West Delhi,2021,8,5.3481442283656386e-05,0.2695086942582399,-0.05471220173443213,97758.34897933468,0.09648875735476502,0.3703504794345246,29.426435097597903
Shahdara,2021,8,9.787191767991695e-05,0.15704981151897923,-0.01940899177234908,97730.49709258963,0.1125991932861414,0.3122056643898379,29.137221403508192
South Delhi,2021,8,5.872762850009863e-05,0.522482932952762,-0.15637586631028033,97455.30916657977,0.12069597396733148,0.32470633715752556,29.099688033953896
South East Delhi,2021,8,9.034037672714173e-05,0.32967104708512257,-0.0966708331995704,97667.89749123943,0.12251038912148125,0.29400618464323014,29.129080145113676
South West Delhi,2021,8,4.480255034567293e-05,0.32887755703889704,-0.049857063826355304,97763.90250780695,0.09661701259924924,0.4125760445593216,29.598768935705152
West Delhi,2021,8,6.0894062736747705e-05,0.2637137941388149,-0.039491268450832555,97766.93054470581,0.09785030531530389,0.36559711642917275,29.41107449894338
North Delhi,2021,9,7.067022567927849e-05,0.16899378495002884,-0.18285578806456812,98069.46979061121,0.19482962931391762,1.8673274255412822,27.485206016916663
Central Delhi,2021,10,0.00015583171045911804,0.34757019210515677,-0.08691069170147375,98461.00602535403,0.07191331904561364,1.2430111174361702,24.577987468038884
East Delhi,2021,10,0.0002128163867329389,0.32502569760173444,-0.10265038925975836,98452.37406185547,0.07211886473822189,1.2528743481882696,24.521069410053315
New Delhi,2021,10,0.00015197142606221972,0.47695844188813324,-0.13525034125340823,98377.59961842347,0.06772707047294328,1.2052731792651534,24.641871469218813
